generation,sex,2011,2021,2031
Silent Generation,female,6.319055357384038,11.252081087086637,18.1530196819464
Silent Generation,male,12.078646427562468,18.033432585568917,25.65776088939079
Baby Boomers,female,16.354926494382834,21.96915473210456,27.863627913211804
Baby Boomers,male,24.247953134265117,30.63352090435284,36.53060043980349
Generation X,female,28.339961874449486,35.01502142027982,41.75641120241953
Generation X,male,34.95461226197272,42.02477720098153,48.72323799587062
Millennials,female,34.532269238584526,46.39671896172445,52.35065824534825
Millennials,male,36.788620959004206,51.117341903546546,57.80624339668263
Generation Z,female,30.467764239337995,45.718148055397876,59.88383364223174
Generation Z,male,31.49955529786946,46.2830685206858,61.75355935715338
alpha,female,,45.060445823691104,57.28374610274402
alpha,male,,45.853877789980466,57.9604503231224
