yob_band,2011,2021,2031
pre-1947,8.8691503920112,14.174003710142479,21.139500336692198
1947-1951,15.401155575116848,19.912384896853535,25.454935346255915
1952-1956,18.559339339106682,23.657925785148265,28.818206984811507
1957-1961,21.093435168645197,27.101317825050653,32.250258411412986
1962-1966,24.802890310352996,31.84283732728429,37.402093896760256
1967-1971,28.754149430294433,36.140955951426626,42.482571471210385
1972-1976,32.314112105037175,39.03960402111799,45.982048525539845
1977-1981,34.13744782689109,40.42372764665971,47.13405696544912
1982-1986,36.479167924502015,43.85918843702307,49.98587288512599
1987-1991,37.87400534022402,49.272621830283754,55.08721405874741
1992-1996,32.42628711667248,53.016434075210775,59.547901360441436
1997-2001,28.350547212212817,50.87946173380937,60.458039978260324
2002-2006,29.254353973920942,45.139776372511484,61.52492844133707
2007-2011,35.04058428908063,41.9143928036727,60.535347878264076
2012-2016,,42.5196772285916,56.37222974085974
2017-2021,,48.69049609760074,54.63605703109795
2022-2026,,,54.69908468817082
2027-2031,,,65.5015026513981
