census_year,geo_code,geography,sex,religion,age_band,yob,population
2011,95AA,Antrim,male,Catholic,0-4,2007-2011,840.0
2011,95AA,Antrim,female,Catholic,0-4,2007-2011,784.0
2011,95AA,Antrim,male,Presbyterian,0-4,2007-2011,308.0
2011,95AA,Antrim,female,Presbyterian,0-4,2007-2011,322.0
2011,95AA,Antrim,male,Church of Ireland,0-4,2007-2011,175.0
2011,95AA,Antrim,female,Church of Ireland,0-4,2007-2011,198.0
2011,95AA,Antrim,male,Methodist,0-4,2007-2011,13.0
2011,95AA,Antrim,female,Methodist,0-4,2007-2011,15.0
2011,95AA,Antrim,male,Other Christian,0-4,2007-2011,97.0
2011,95AA,Antrim,female,Other Christian,0-4,2007-2011,101.0
2011,95AA,Antrim,male,Other religions,0-4,2007-2011,26.0
2011,95AA,Antrim,female,Other religions,0-4,2007-2011,19.0
2011,95AA,Antrim,male,No religion,0-4,2007-2011,399.0
2011,95AA,Antrim,female,No religion,0-4,2007-2011,335.0
2011,95AA,Antrim,male,Not stated,0-4,2007-2011,161.0
2011,95AA,Antrim,female,Not stated,0-4,2007-2011,182.0
2011,95AA,Antrim,male,Catholic,5-9,2002-2006,772.0
2011,95AA,Antrim,female,Catholic,5-9,2002-2006,719.0
2011,95AA,Antrim,male,Presbyterian,5-9,2002-2006,375.0
2011,95AA,Antrim,female,Presbyterian,5-9,2002-2006,319.0
2011,95AA,Antrim,male,Church of Ireland,5-9,2002-2006,175.0
2011,95AA,Antrim,female,Church of Ireland,5-9,2002-2006,172.0
2011,95AA,Antrim,male,Methodist,5-9,2002-2006,22.0
2011,95AA,Antrim,female,Methodist,5-9,2002-2006,14.0
2011,95AA,Antrim,male,Other Christian,5-9,2002-2006,85.0
2011,95AA,Antrim,female,Other Christian,5-9,2002-2006,89.0
2011,95AA,Antrim,male,Other religions,5-9,2002-2006,18.0
2011,95AA,Antrim,female,Other religions,5-9,2002-2006,9.0
2011,95AA,Antrim,male,No religion,5-9,2002-2006,285.0
2011,95AA,Antrim,female,No religion,5-9,2002-2006,257.0
2011,95AA,Antrim,male,Not stated,5-9,2002-2006,113.0
2011,95AA,Antrim,female,Not stated,5-9,2002-2006,131.0
2011,95AA,Antrim,male,Catholic,10-14,1997-2001,829.0
2011,95AA,Antrim,female,Catholic,10-14,1997-2001,773.0
2011,95AA,Antrim,male,Presbyterian,10-14,1997-2001,406.0
2011,95AA,Antrim,female,Presbyterian,10-14,1997-2001,420.0
2011,95AA,Antrim,male,Church of Ireland,10-14,1997-2001,177.0
2011,95AA,Antrim,female,Church of Ireland,10-14,1997-2001,188.0
2011,95AA,Antrim,male,Methodist,10-14,1997-2001,26.0
2011,95AA,Antrim,female,Methodist,10-14,1997-2001,21.0
2011,95AA,Antrim,male,Other Christian,10-14,1997-2001,108.0
2011,95AA,Antrim,female,Other Christian,10-14,1997-2001,97.0
2011,95AA,Antrim,male,Other religions,10-14,1997-2001,9.0
2011,95AA,Antrim,female,Other religions,10-14,1997-2001,9.0
2011,95AA,Antrim,male,No religion,10-14,1997-2001,218.0
2011,95AA,Antrim,female,No religion,10-14,1997-2001,193.0
2011,95AA,Antrim,male,Not stated,10-14,1997-2001,109.0
2011,95AA,Antrim,female,Not stated,10-14,1997-2001,102.0
2011,95AA,Antrim,male,Catholic,15-19,1992-1996,707.0
2011,95AA,Antrim,female,Catholic,15-19,1992-1996,731.0
