census_year,geo_code,geography,sex,religion,age,age_band,yob,population
2011,S12000005,Clackmannanshire,male,Church of Scotland,0-4,0-4,2007-2011,213.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,5-9,5-9,2002-2006,297.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,10-14,10-14,1997-2001,359.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,15,15-19,1992-1996,75.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,16-17,15-19,1992-1996,181.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,18-19,15-19,1992-1996,158.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,20-24,20-24,1987-1991,305.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,25-29,25-29,1982-1986,294.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,30-34,30-34,1977-1981,321.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,35-39,35-39,1972-1976,443.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,40-44,40-44,1967-1971,602.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,45-49,45-49,1962-1966,687.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,50-54,50-54,1957-1961,674.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,55-59,55-59,1952-1956,687.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,60-64,60-64,1947-1951,838.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,65-69,65-69,1942-1946,691.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,70-74,70-74,1937-1941,576.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,75-79,75-79,pre-1937,408.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,80-84,80-84,pre-1937,266.0
2011,S12000005,Clackmannanshire,male,Church of Scotland,85+,85+,pre-1937,151.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,0-4,0-4,2007-2011,215.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,5-9,5-9,2002-2006,271.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,10-14,10-14,1997-2001,392.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,15,15-19,1992-1996,81.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,16-17,15-19,1992-1996,186.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,18-19,15-19,1992-1996,144.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,20-24,20-24,1987-1991,255.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,25-29,25-29,1982-1986,254.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,30-34,30-34,1977-1981,316.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,35-39,35-39,1972-1976,463.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,40-44,40-44,1967-1971,684.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,45-49,45-49,1962-1966,780.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,50-54,50-54,1957-1961,792.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,55-59,55-59,1952-1956,820.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,60-64,60-64,1947-1951,992.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,65-69,65-69,1942-1946,845.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,70-74,70-74,1937-1941,706.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,75-79,75-79,pre-1937,540.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,80-84,80-84,pre-1937,411.0
2011,S12000005,Clackmannanshire,female,Church of Scotland,85+,85+,pre-1937,389.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,0-4,0-4,2007-2011,845.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,5-9,5-9,2002-2006,1133.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,10-14,10-14,1997-2001,1479.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,15,15-19,1992-1996,351.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,16-17,15-19,1992-1996,676.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,18-19,15-19,1992-1996,522.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,20-24,20-24,1987-1991,1275.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,25-29,25-29,1982-1986,992.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,30-34,30-34,1977-1981,923.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,35-39,35-39,1972-1976,1222.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,40-44,40-44,1967-1971,1904.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,45-49,45-49,1962-1966,2389.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,50-54,50-54,1957-1961,2468.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,55-59,55-59,1952-1956,2395.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,60-64,60-64,1947-1951,2829.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,65-69,65-69,1942-1946,2541.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,70-74,70-74,1937-1941,2307.0
2011,S12000006,Dumfries and Galloway,male,Church of Scotland,75-79,75-79,pre-1937,1896.0
