year,sex,age_band,geo_code,projection
2022,female,0-0,95AA,316.88296392637153
2022,female,0-0,95BB,369.9522390216586
2022,female,0-0,95CC,414.01698007550715
2022,female,0-0,95DD,362.6719774562402
2022,female,0-0,95EE,177.2168933687386
2022,female,0-0,95FF,276.84152531657
2022,female,0-0,95GG,1540.9248360700158
2022,female,0-0,95HH,179.70750916743438
2022,female,0-0,95II,392.7509528712585
2022,female,0-0,95JJ,294.4674217381094
2022,female,0-0,95KK,252.8932964829567
2022,female,0-0,95LL,635.873371990101
2022,female,0-0,95MM,625.9109087953178
2022,female,0-0,95NN,415.3580808901895
2022,female,0-0,95OO,448.11925793457254
2022,female,0-0,95PP,375.1250564497191
2022,female,0-0,95QQ,155.56769450315215
2022,female,0-0,95RR,192.1605881609133
2022,female,0-0,95SS,750.2501128994382
2022,female,0-0,95TT,297.341209198143
2022,female,0-0,95UU,83.91459383298108
2022,female,0-0,95VV,651.2002384436134
2022,female,0-0,95WW,465.36198269477416
2022,female,0-0,95XX,370.71858234433427
2022,female,0-0,95YY,320.52309470908074
2022,female,0-0,95ZZ,240.24863165880888
2022,male,0-0,95AA,317.2554279945934
2022,male,0-0,95BB,391.50669837630676
2022,male,0-0,95CC,414.5695929645662
2022,male,0-0,95DD,390.00667271202974
2022,male,0-0,95EE,182.62812462572933
2022,male,0-0,95FF,293.0675141581262
2022,male,0-0,95GG,1562.8392389686383
2022,male,0-0,95HH,187.1282016185604
2022,male,0-0,95II,403.31940048248845
2022,male,0-0,95JJ,283.50485054836
2022,male,0-0,95KK,267.56707786541654
2022,male,0-0,95LL,668.6364398514895
2022,male,0-0,95MM,659.6362858658272
2022,male,0-0,95NN,417.94465070918955
2022,male,0-0,95OO,456.195305148254
2022,male,0-0,95PP,370.69384228446285
2022,male,0-0,95QQ,152.4401081321539
2022,male,0-0,95RR,202.1284582613308
2022,male,0-0,95SS,808.5138330453232
2022,male,0-0,95TT,303.1926873919962
2022,male,0-0,95UU,95.25162968159187
2022,male,0-0,95VV,702.1995140896881
2022,male,0-0,95WW,477.00816124009793
2022,male,0-0,95XX,395.6317689530686
2022,male,0-0,95YY,322.50551781956307
2022,male,0-0,95ZZ,233.62899721114857
2023,female,0-1,95AA,612.7320218934591
2023,female,0-1,95BB,715.3479651005257
2023,female,0-1,95CC,800.5525388825665
2023,female,0-1,95DD,701.2706876930581
2023,female,0-1,95EE,342.6705684712513
2023,female,0-1,95FF,535.3069961523871
2023,female,0-1,95GG,2979.566899691107
2023,female,0-1,95HH,347.4864791632797
2023,female,0-1,95II,759.4320706660164
2023,female,0-1,95JJ,569.3888256652035
2023,female,0-1,95KK,489.00016257519104
2023,female,0-1,95LL,1229.5390451417113
2023,female,0-1,95MM,1210.275402373598
2023,female,0-1,95NN,803.1457215628895
2023,female,0-1,95OO,866.4934698964938
2023,female,0-1,95PP,725.3502411532
2023,female,0-1,95QQ,300.809190917466
2023,female,0-1,95RR,371.5660326234217
2023,female,0-1,95SS,1450.7004823064
2023,female,0-1,95TT,574.945645694467
2023,female,0-1,95UU,162.2591448544952
2023,female,0-1,95VV,1259.1754186311168
2023,female,0-1,95WW,899.834390072075
