Local Government District 1993 Code,Local Government District 1993 Label,Religion - 8 Categories Code,Religion - 8 Categories Label,Age - 19 Categories Code,Age - 19 Categories Label,Sex Code,Sex Label,Count
95AA,Antrim,1,Catholic,1,0-4 years,1,Female,676
95AA,Antrim,1,Catholic,1,0-4 years,2,Male,653
95AA,Antrim,1,Catholic,2,5-9 years,1,Female,805
95AA,Antrim,1,Catholic,2,5-9 years,2,Male,864
95AA,Antrim,1,Catholic,3,10-14 years,1,Female,863
95AA,Antrim,1,Catholic,3,10-14 years,2,Male,878
95AA,Antrim,1,Catholic,4,15-19 years,1,Female,688
95AA,Antrim,1,Catholic,4,15-19 years,2,Male,749
95AA,Antrim,1,Catholic,5,20-24 years,1,Female,607
95AA,Antrim,1,Catholic,5,20-24 years,2,Male,656
95AA,Antrim,1,Catholic,6,25-29 years,1,Female,697
95AA,Antrim,1,Catholic,6,25-29 years,2,Male,553
95AA,Antrim,1,Catholic,7,30-34 years,1,Female,751
95AA,Antrim,1,Catholic,7,30-34 years,2,Male,657
95AA,Antrim,1,Catholic,8,35-39 years,1,Female,887
95AA,Antrim,1,Catholic,8,35-39 years,2,Male,719
95AA,Antrim,1,Catholic,9,40-44 years,1,Female,818
95AA,Antrim,1,Catholic,9,40-44 years,2,Male,739
95AA,Antrim,1,Catholic,10,45-49 years,1,Female,798
95AA,Antrim,1,Catholic,10,45-49 years,2,Male,705
95AA,Antrim,1,Catholic,11,50-54 years,1,Female,833
95AA,Antrim,1,Catholic,11,50-54 years,2,Male,755
95AA,Antrim,1,Catholic,12,55-59 years,1,Female,733
95AA,Antrim,1,Catholic,12,55-59 years,2,Male,720
95AA,Antrim,1,Catholic,13,60-64 years,1,Female,621
95AA,Antrim,1,Catholic,13,60-64 years,2,Male,559
95AA,Antrim,1,Catholic,14,65-69 years,1,Female,483
95AA,Antrim,1,Catholic,14,65-69 years,2,Male,441
95AA,Antrim,1,Catholic,15,70-74 years,1,Female,413
95AA,Antrim,1,Catholic,15,70-74 years,2,Male,345
95AA,Antrim,1,Catholic,16,75-79 years,1,Female,295
95AA,Antrim,1,Catholic,16,75-79 years,2,Male,231
95AA,Antrim,1,Catholic,17,80-84 years,1,Female,196
95AA,Antrim,1,Catholic,17,80-84 years,2,Male,150
95AA,Antrim,1,Catholic,18,85-89 years,1,Female,117
95AA,Antrim,1,Catholic,18,85-89 years,2,Male,68
95AA,Antrim,1,Catholic,19,90+ years,1,Female,57
95AA,Antrim,1,Catholic,19,90+ years,2,Male,16
95AA,Antrim,2,Presbyterian Church in Ireland,1,0-4 years,1,Female,240
95AA,Antrim,2,Presbyterian Church in Ireland,1,0-4 years,2,Male,241
95AA,Antrim,2,Presbyterian Church in Ireland,2,5-9 years,1,Female,330
95AA,Antrim,2,Presbyterian Church in Ireland,2,5-9 years,2,Male,315
95AA,Antrim,2,Presbyterian Church in Ireland,3,10-14 years,1,Female,338
95AA,Antrim,2,Presbyterian Church in Ireland,3,10-14 years,2,Male,316
95AA,Antrim,2,Presbyterian Church in Ireland,4,15-19 years,1,Female,289
95AA,Antrim,2,Presbyterian Church in Ireland,4,15-19 years,2,Male,358
95AA,Antrim,2,Presbyterian Church in Ireland,5,20-24 years,1,Female,267
95AA,Antrim,2,Presbyterian Church in Ireland,5,20-24 years,2,Male,270
95AA,Antrim,2,Presbyterian Church in Ireland,6,25-29 years,1,Female,261
